frame;visual_year;represented_particles;visual_sample_particles;represented_per_sample;mode
0;0.000000;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
1;8403361.344538;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
2;16806722.689076;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
3;25210084.033613;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
4;33613445.378151;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
5;42016806.722689;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
6;50420168.067227;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
7;58823529.411765;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
8;67226890.756303;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
9;75630252.100840;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
10;84033613.445378;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
11;92436974.789916;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
12;100840336.134454;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
13;109243697.478992;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
14;117647058.823529;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
15;126050420.168067;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
16;134453781.512605;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
17;142857142.857143;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
18;151260504.201681;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
19;159663865.546218;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
20;168067226.890756;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
21;176470588.235294;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
22;184873949.579832;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
23;193277310.924370;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
24;201680672.268908;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
25;210084033.613445;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
26;218487394.957983;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
27;226890756.302521;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
28;235294117.647059;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
29;243697478.991597;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
30;252100840.336134;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
31;260504201.680672;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
32;268907563.025210;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
33;277310924.369748;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
34;285714285.714286;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
35;294117647.058824;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
36;302521008.403361;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
37;310924369.747899;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
38;319327731.092437;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
39;327731092.436975;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
40;336134453.781513;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
41;344537815.126050;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
42;352941176.470588;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
43;361344537.815126;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
44;369747899.159664;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
45;378151260.504202;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
46;386554621.848740;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
47;394957983.193277;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
48;403361344.537815;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
49;411764705.882353;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
50;420168067.226891;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
51;428571428.571429;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
52;436974789.915966;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
53;445378151.260504;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
54;453781512.605042;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
55;462184873.949580;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
56;470588235.294118;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
57;478991596.638655;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
58;487394957.983193;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
59;495798319.327731;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
60;504201680.672269;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
61;512605042.016807;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
62;521008403.361345;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
63;529411764.705882;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
64;537815126.050420;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
65;546218487.394958;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
66;554621848.739496;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
67;563025210.084034;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
68;571428571.428571;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
69;579831932.773109;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
70;588235294.117647;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
71;596638655.462185;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
72;605042016.806723;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
73;613445378.151260;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
74;621848739.495798;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
75;630252100.840336;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
76;638655462.184874;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
77;647058823.529412;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
78;655462184.873950;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
79;663865546.218487;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
80;672268907.563025;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
81;680672268.907563;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
82;689075630.252101;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
83;697478991.596639;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
84;705882352.941176;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
85;714285714.285714;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
86;722689075.630252;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
87;731092436.974790;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
88;739495798.319328;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
89;747899159.663866;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
90;756302521.008403;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
91;764705882.352941;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
92;773109243.697479;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
93;781512605.042017;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
94;789915966.386555;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
95;798319327.731092;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
96;806722689.075630;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
97;815126050.420168;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
98;823529411.764706;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
99;831932773.109244;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
100;840336134.453781;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
101;848739495.798319;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
102;857142857.142857;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
103;865546218.487395;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
104;873949579.831933;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
105;882352941.176471;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
106;890756302.521008;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
107;899159663.865546;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
108;907563025.210084;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
109;915966386.554622;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
110;924369747.899160;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
111;932773109.243698;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
112;941176470.588235;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
113;949579831.932773;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
114;957983193.277311;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
115;966386554.621849;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
116;974789915.966387;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
117;983193277.310924;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
118;991596638.655462;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
119;1000000000.000000;100000000;300000;333.333333;weighted_density_proxy_not_direct_nbody
